Employee ID,Employee Name,Department,Designation,Gender,Joining Date,Exit Date,Salary,Attendance %,Location,Employment Status
EMP1000, Nikhil Singh ,HR,Analyst,Male,31-01-2022,,,90.3,Indore,Active
EMP1001,Aditya Choudhary,IT,Analyst,Male,11-05-2019,,30280,85.2,Mumbai,Active
EMP1002,Vikas Deshmukh,Marketing,Coordinator,Female,15-09-2023,,76878,94.3,Mumbai,Active
EMP1003,Bhavna Ninawe,IT,Executive,Male,25-10-2022,,62118,81.4,Hyderabad,Exited
EMP1004,Deepak Mishra,Admin,Coordinator,Male,19-12-2021,,78217,99.2,Chennai,Active
EMP1005,Aditya Mehta,Sales,Executive,Male,21-01-2023,,27116,93.2,Pune,Active
EMP1006,Deepak Joshi,hr,Analyst,Female,06-04-2023,06-09-2025,65819,80.7,Bengaluru,Exited
EMP1007,Sakshi Patel,Admin,Associate,Female,01-12-2020,,39417,78.1,Indore,Active
EMP1008,Diya Jain,HR,Associate,Female,27-07-2021,,59347,72.0,Hyderabad,Active
EMP1009,Ananya Reddy,IT,Analyst,Male,23-02-2024,,52718,92.3,Indore,Active
EMP1010,Aadhya Choudhary,IT,Coordinator,Female,24-06-2023,,36131,72.7,Mumbai,Exited
EMP1011,Deepak Singh,Human Resource,Coordinator,Female,17-10-2020,15-12-2021,68019,85.9,Indore,Exited
EMP1012,Deepak Sharma,hr,Senior Executive,Female,08-01-2025,21-01-2026,32621,74.7,Mumbai,Exited
EMP1013,Shreya Kulkarni,Marketing,Manager,Male,01-01-2021,,57117,74.6,Nagpur,Active
EMP1014,Vikas Nair,HR,Senior Executive,Male,20-08-2022,,65576,71.7,Pune,Exited
EMP1015,Aditya Reddy,hr,Manager,Female,21-12-2024,,34828,98.4,Nagpur,Active
EMP1016,Aadhya Nair,Admin,Manager,Female,30-09-2023,,44365,82.0,Hyderabad,Active
EMP1017,Isha Nair,Operations,Executive,Female,10-05-2020,,47451,70.6,Indore,Active
EMP1018,Diya Choudhary,Finance,Analyst,Male,30-01-2019,,25716,97.2,Hyderabad,Active
EMP1019,Aditya Nair,Finance,Manager,Female,14-02-2022,,35342,77.3,Wardha,Exited
EMP1020,Kiran Pawar,Finance,Senior Executive,Female,22-01-2020,,74498,82.3,Mumbai,Active
EMP1021,Akash Singh,HR,Analyst,Male,08-07-2023,26-11-2023,50591,86.1,Nagpur,Exited
EMP1022,Kavya Ninawe,Sales,Associate,Male,09-03-2024,,27880,71.5,Indore,Active
EMP1023,Manoj Sharma,hr,Associate,Female,26-08-2021,,71269,76.4,Chennai,Active
EMP1024,Ritika Verma,Human Resource,Senior Executive,Female,02-04-2023,,69173,78.6,Indore,Active
EMP1025,Akash Reddy,Human Resource,Coordinator,Male,16-02-2021,,25665,92.4,Mumbai,Exited
EMP1026,Vivaan Choudhary,Operations,Coordinator,Male,21-08-2024,,25455,95.5,Pune,Active
EMP1027,Siddharth Patel,Finance,Coordinator,Male,12-07-2023,,50271,88.6,Chennai,Active
EMP1028,Akash Choudhary,Admin,Analyst,Female,11-11-2024,08-07-2025,59180,81.9,Bengaluru,Exited
EMP1029,Isha Jain,hr,Executive,Male,08-02-2019,06-10-2020,31104,85.2,Nagpur,Exited
EMP1030,Swati Mishra,hr,Coordinator,Female,27-09-2021,,75433,88.4,Indore,Exited
EMP1031,Aarav Mehta,Sales,Executive,Male,29-02-2020,,52664,92.3,Nagpur,Active
EMP1032,Aadhya Yadav,Admin,Coordinator,Female,12-05-2021,,52600,77.5,Mumbai,Exited
EMP1033,Aditya Pawar,Sales,Analyst,Female,30-06-2019,,61719,74.8,Wardha,Active
EMP1034,Vikas Pawar,Marketing,Manager,Male,09-02-2019,,27862,86.4,Hyderabad,Active
EMP1035,Rohan Mehta,Human Resource,Senior Executive,Female,27-10-2023,,23482,97.0,Mumbai,Active
EMP1036,Ritika Mishra,Finance,Coordinator,Female,19-10-2021,,64357,99.2,Nagpur,Active
EMP1037,Swati Joshi,Human Resource,Associate,Male,26-12-2020,,61540,78.0,Pune,Exited
EMP1038,Neha Verma,Operations,Senior Executive,Female,30-06-2021,,78332,94.6,Delhi,Active
EMP1039,Diya Sharma,Finance,Senior Executive,Female,21-06-2023,,27099,89.2,Chennai,Exited
EMP1040,Akash Mehta,sales,Analyst,Female,24-04-2019,,52237,71.1,Chennai,Active
EMP1041,Pooja Jain,IT,Coordinator,Male,25-09-2024,,68488,77.6,Chennai,Active
EMP1042,Aarav Nair,Marketing,Coordinator,Female,18-03-2021,26-02-2023,61279,89.9,Pune,Exited
EMP1043,Shreya Yadav,Marketing,Coordinator,Male,20-06-2022,02-07-2024,56752,75.8,Chennai,Exited
EMP1044,Akash Ninawe,Admin,Senior Executive,Male,17-05-2022,16-06-2022,57829,82.9,Hyderabad,Exited
EMP1044,Isha Shinde,Operations,Manager,Male,25-05-2021,17-09-2023,40241,78.5,Hyderabad,Exited
EMP1046,Aditya Joshi,Sales,Executive,Male,09-07-2021,,37313,77.3,Wardha,Active
EMP1047,Siddharth Patel,Operations,Associate,Female,25-08-2023,,68328,77.3,Mumbai,Active
EMP1048,Ritika Singh,IT,Executive,Male,15-06-2021,,78889,97.5,Pune,Active
EMP1049,Isha Gupta,Operations,Coordinator,Female,15-12-2024,15-07-2027,76008,94.9,Indore,Exited
EMP1050,Isha Ninawe,Operations,Coordinator,Female,18-01-2024,26-06-2026,,88.8,Bengaluru,Exited
EMP1051,Isha Patel,Sales,Analyst,Male,18-08-2021,19-03-2024,28561,76.9,Nagpur,Exited
EMP1052,Sakshi Deshmukh,hr,Executive,Male,27-08-2023,15-01-2025,72496,95.0,Chennai,Exited
EMP1053,Ritika Choudhary,HR,Senior Executive,Female,08-04-2023,,64105,95.6,Chennai,Exited
EMP1054,Vikas Mehta,Admin,Associate,Male,22-06-2021,,75125,81.7,Chennai,Exited
EMP1055,Shreya Ninawe,Operations,Coordinator,Male,06-06-2020,,69645,72.5,Chennai,Active
